BLOCKCHAIN,BLOCK_ID,BLOCK_TIMESTAMP,TX_ID,ACTION,AMOUNT0_ADJUSTED,AMOUNT1_ADJUSTED,AMOUNT0_USD,AMOUNT1_USD,TOKEN0_ADDRESS,TOKEN1_ADDRESS,TOKEN0_SYMBOL,TOKEN1_SYMBOL,TOKEN0_PRICE,TOKEN1_PRICE,LIQUIDITY,LIQUIDITY_ADJUSTED,LIQUIDITY_PROVIDER,NF_POSITION_MANAGER_ADDRESS,NF_TOKEN_ID,POOL_ADDRESS,POOL_NAME,TICK_LOWER,TICK_UPPER,PRICE_LOWER_1_0,PRICE_UPPER_1_0,PRICE_LOWER_0_1,PRICE_UPPER_0_1,PRICE_LOWER_1_0_USD,PRICE_UPPER_1_0_USD,PRICE_LOWER_0_1_USD,PRICE_UPPER_0_1_USD
ethereum,12657537,2021-06-18 09:01:28.000,0x8c0ad82afd257c5301c1815df3b590b6f6611300875a758658085e9c8c524a1e,DECREASE_LIQUIDITY,72.287852125,0.277362307,72.526198872,634.304399166,0x853d955acef822db058eb8505911ed77f175b99e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,FRAX,WETH,1.00329719,2286.916365531,17365023473069800000,17.365023473,0xef8ff0d07d81cb40f982e46fafd7d99c692c3b26,0xc36442b4a4522e871399cd717abdd847ab11fe88,2231,0x92c7b5ce4cb0e5483f3365c1449f21578ee9f21a,FRAX-WETH 3000 60,-108180,-76020,0.00002004643679,0.0004996413958,2001.435446471,49884.176939633,0.04584452437,1.142638085,2008.034558413,50048.654524148
ethereum,12690427,2021-06-23 12:40:10.000,0xea79367dffdb76a41d0137f453895fabc4746eb1691aed0941f86b889edd979a,INCREASE_LIQUIDITY,2250.310531609,1,2251.275635044,1980.994070646,0x853d955acef822db058eb8505911ed77f175b99e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,FRAX,WETH,1.000428876,1980.994070646,158115675713719000000,158.115675714,0x8df937afdf1d08c2ba565d636ca1365a42144385,0xc36442b4a4522e871399cd717abdd847ab11fe88,57813,0x92c7b5ce4cb0e5483f3365c1449f21578ee9f21a,FRAX-WETH 3000 60,-85200,-70920,0.000199524399,0.0008320272014,1201.883782487,5011.918367118,0.3952566514,1.648240953,1202.399241198,5014.067856961
ethereum,12690451,2021-06-23 12:44:50.000,0xc1782ac45b1c105a4cc0bf0a4edfffe4fb139cb7b8a509917e620b61cd072a3d,INCREASE_LIQUIDITY,118348.423381581,58.504100729,118399.180140836,115896.276652031,0x853d955acef822db058eb8505911ed77f175b99e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,FRAX,WETH,1.000428876,1980.994070646,8.98602427223838e+21,8986.024272238,0x8df937afdf1d08c2ba565d636ca1365a42144385,0xc36442b4a4522e871399cd717abdd847ab11fe88,57817,0x92c7b5ce4cb0e5483f3365c1449f21578ee9f21a,FRAX-WETH 3000 60,-82920,-69060,0.0002506168128,0.001002102764,997.901648659,3990.155284857,0.4964704201,1.985159633,998.329624396,3991.866565374
ethereum,12692568,2021-06-23 20:30:37.000,0xa57ac4104f9d8ebb1dd6edd37960b577f378f548b12769cba5f9b10da1910145,DECREASE_LIQUIDITY,112321.898162936,61.557939037,112370.070292157,121945.912233796,0x853d955acef822db058eb8505911ed77f175b99e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,FRAX,WETH,1.000428876,1980.994070646,8.98602427223838e+21,8986.024272238,0x8df937afdf1d08c2ba565d636ca1365a42144385,0xc36442b4a4522e871399cd717abdd847ab11fe88,57817,0x92c7b5ce4cb0e5483f3365c1449f21578ee9f21a,FRAX-WETH 3000 60,-82920,-69060,0.0002506168128,0.001002102764,997.901648659,3990.155284857,0.4964704201,1.985159633,998.329624396,3991.866565374
ethereum,12693782,2021-06-24 00:53:00.000,0xa0e7b1a7a85a7814b8de614c9f1fc41df7e2994da34863774124c8fdfa4d519f,INCREASE_LIQUIDITY,1222.031009888,0.8534189242,1226.541606327,1676.142706997,0x853d955acef822db058eb8505911ed77f175b99e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,FRAX,WETH,1.003691065,1964.032738692,523478347562378000000,523.478347562,0x0202ed9ff0d505f9b064a610199a001cef9977bd,0xc36442b4a4522e871399cd717abdd847ab11fe88,58467,0x92c7b5ce4cb0e5483f3365c1449f21578ee9f21a,FRAX-WETH 3000 60,-77220,-74640,0.0004431448236,0.0005735721488,1743.459828064,2256.598625805,0.8703509416,1.126514478,1749.895052399,2264.927879028
ethereum,12701657,2021-06-25 06:19:32.000,0xe731a45b47b1e949f913b5431b58a9060147651a6d98e4cb3fdab438a08a6801,DECREASE_LIQUIDITY,1533.838995978,0.6951503465,1540.296369877,1320.43808542,0x853d955acef822db058eb8505911ed77f175b99e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,FRAX,WETH,1.004209942,1899.500003331,523478347562378000000,523.478347562,0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,0xc36442b4a4522e871399cd717abdd847ab11fe88,58467,0x92c7b5ce4cb0e5483f3365c1449f21578ee9f21a,FRAX-WETH 3000 60,-77220,-74640,0.0004431448236,0.0005735721488,1743.459828064,2256.598625805,0.8417535939,1.089500299,1750.799693601,2266.09877615
ethereum,12743354,2021-07-01 18:19:17.000,0xcad737c6e153ebd1021a611659bff443eada6a607182f6b52256f713e6d09f26,DECREASE_LIQUIDITY,1790.080526713,1.20464677,1793.651148763,2593.101897159,0x853d955acef822db058eb8505911ed77f175b99e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,FRAX,WETH,1.001994671,2152.582782984,158115675713719000000,158.115675714,0x8df937afdf1d08c2ba565d636ca1365a42144385,0xc36442b4a4522e871399cd717abdd847ab11fe88,57813,0x92c7b5ce4cb0e5483f3365c1449f21578ee9f21a,FRAX-WETH 3000 60,-85200,-70920,0.000199524399,0.0008320272014,1201.883782487,5011.918367118,0.4294927861,1.791007429,1204.281145438,5021.915496278
ethereum,12792096,2021-07-09 08:25:15.000,0xc4d2194e88eec2f2658b56817a6afdd009f77cd07a73a43080f52d4bc5576813,INCREASE_LIQUIDITY,14642.82431508,10.014862146,14650.925485648,21309.980011319,0x853d955acef822db058eb8505911ed77f175b99e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,FRAX,WETH,1.000553252,2127.835580913,8.85867959921684e+21,8858.679599217,0x0202ed9ff0d505f9b064a610199a001cef9977bd,0xc36442b4a4522e871399cd717abdd847ab11fe88,76617,0x92c7b5ce4cb0e5483f3365c1449f21578ee9f21a,FRAX-WETH 3000 60,-77640,-75840,0.0004249190721,0.0005087159128,1965.733673346,2353.389305816,0.9041579205,1.08246382,1966.821219261,2354.691322952
ethereum,12792415,2021-07-09 09:36:17.000,0x91dbaf36e40403f996999185adc9a79da96ce550a755f91db7d93f1e2b48353f,DECREASE_LIQUIDITY,14642.82431508,10.014862146,14650.925485648,21309.980011319,0x853d955acef822db058eb8505911ed77f175b99e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,FRAX,WETH,1.000553252,2127.835580913,8.85867959921684e+21,8858.679599217,0x0202ed9ff0d505f9b064a610199a001cef9977bd,0xc36442b4a4522e871399cd717abdd847ab11fe88,76617,0x92c7b5ce4cb0e5483f3365c1449f21578ee9f21a,FRAX-WETH 3000 60,-77640,-75840,0.0004249190721,0.0005087159128,1965.733673346,2353.389305816,0.9041579205,1.08246382,1966.821219261,2354.691322952
